[LuST] speed pool: 138896 mẫu, mean=13.09 m/s, median=12.56 m/s
[LuST-24h] speed pool: 442557 mẫu, mean=16.65 m/s, median=13.68 m/s
[LuST] speed pool: 138896 mẫu, mean=13.09 m/s, median=12.56 m/s
[LuST-24h] speed pool: 442557 mẫu, mean=16.65 m/s, median=13.68 m/s

[Classical] seed=2024
  [full] ep 32/50 | reward=-5.775 loss=0 lat=7.628s E=3.922J cost=5.775 avgQ=0.00 t=3.489s
  [full] ep 33/50 | reward=-7.136 loss=0 lat=9.413s E=4.859J cost=7.136 avgQ=0.00 t=3.627s
  [full] ep 34/50 | reward=-7.686 loss=0 lat=9.972s E=5.400J cost=7.686 avgQ=0.00 t=3.557s
  [full] ep 35/50 | reward=-8.125 loss=0 lat=10.552s E=5.699J cost=8.125 avgQ=0.00 t=3.572s
  [full] ep 36/50 | reward=-6.914 loss=0 lat=9.086s E=4.741J cost=6.914 avgQ=0.00 t=3.505s
  [full] ep 37/50 | reward=-6.433 loss=0 lat=8.497s E=4.369J cost=6.433 avgQ=0.00 t=3.566s
  [full] ep 38/50 | reward=-8.293 loss=0 lat=10.811s E=5.776J cost=8.293 avgQ=0.00 t=3.581s
  [full] ep 39/50 | reward=-6.616 loss=0 lat=8.639s E=4.593J cost=6.616 avgQ=0.00 t=3.687s
  [full] ep 40/50 | reward=-7.921 loss=0 lat=10.388s E=5.453J cost=7.921 avgQ=0.00 t=3.633s
  [full] ep 41/50 | reward=-7.482 loss=0 lat=9.813s E=5.151J cost=7.482 avgQ=0.00 t=3.599s
  [full] ep 42/50 | reward=-6.239 loss=0 lat=8.243s E=4.235J cost=6.239 avgQ=0.00 t=3.53s
  [full] ep 43/50 | reward=-6.982 loss=0 lat=9.131s E=4.834J cost=6.982 avgQ=0.00 t=3.621s
  [full] ep 44/50 | reward=-7.240 loss=0 lat=9.497s E=4.983J cost=7.240 avgQ=0.00 t=3.622s
  [full] ep 45/50 | reward=-8.468 loss=0 lat=10.961s E=5.976J cost=8.468 avgQ=0.00 t=3.448s
  [full] ep 46/50 | reward=-6.671 loss=0 lat=8.799s E=4.543J cost=6.671 avgQ=0.00 t=3.44s
  [full] ep 47/50 | reward=-6.703 loss=0 lat=8.769s E=4.637J cost=6.703 avgQ=0.00 t=3.585s
  [full] ep 48/50 | reward=-10.880 loss=0 lat=13.945s E=7.816J cost=10.880 avgQ=0.00 t=3.493s
  [full] ep 49/50 | reward=-6.178 loss=0 lat=8.139s E=4.217J cost=6.178 avgQ=0.00 t=3.672s
  [full] ep 50/50 | reward=-7.335 loss=0 lat=9.607s E=5.063J cost=7.335 avgQ=0.00 t=3.622s
[Classical] seed=2025 DONE | reward=-7.2971 lat=9.5588s E=5.0355J miss=0.9661 train=178.3s

[Classical] seed=2026
  [full] ep  1/50 | reward=-7.666 loss=0 lat=10.133s E=5.198J cost=7.666 avgQ=0.00 t=4.028s
  [full] ep  2/50 | reward=-9.393 loss=0 lat=12.297s E=6.488J cost=9.393 avgQ=0.00 t=3.563s
  [full] ep  3/50 | reward=-8.342 loss=0 lat=10.988s E=5.696J cost=8.342 avgQ=0.00 t=3.598s
  [full] ep  4/50 | reward=-8.070 loss=0 lat=10.637s E=5.502J cost=8.070 avgQ=0.00 t=3.652s
  [full] ep  5/50 | reward=-9.287 loss=0 lat=12.172s E=6.403J cost=9.287 avgQ=0.00 t=3.483s
  [full] ep  6/50 | reward=-8.820 loss=0 lat=11.538s E=6.103J cost=8.820 avgQ=0.00 t=3.518s
  [full] ep  7/50 | reward=-7.412 loss=0 lat=9.832s E=4.992J cost=7.412 avgQ=0.00 t=3.65s
  [full] ep  8/50 | reward=-7.348 loss=0 lat=9.759s E=4.936J cost=7.348 avgQ=0.00 t=3.614s
  [full] ep  9/50 | reward=-11.078 loss=0 lat=14.424s E=7.731J cost=11.078 avgQ=0.00 t=3.45s
  [full] ep 10/50 | reward=-9.111 loss=0 lat=11.927s E=6.295J cost=9.111 avgQ=0.00 t=3.59s
  [full] ep 11/50 | reward=-7.667 loss=0 lat=10.134s E=5.201J cost=7.667 avgQ=0.00 t=3.597s
  [full] ep 12/50 | reward=-7.339 loss=0 lat=9.729s E=4.949J cost=7.339 avgQ=0.00 t=3.63s
  [full] ep 13/50 | reward=-7.845 loss=0 lat=10.358s E=5.332J cost=7.845 avgQ=0.00 t=3.691s
  [full] ep 14/50 | reward=-6.920 loss=0 lat=9.198s E=4.641J cost=6.920 avgQ=0.00 t=3.53s
  [full] ep 15/50 | reward=-10.601 loss=0 lat=13.897s E=7.305J cost=10.601 avgQ=0.00 t=3.481s
  [full] ep 16/50 | reward=-10.758 loss=0 lat=14.034s E=7.482J cost=10.758 avgQ=0.00 t=3.572s
  [full] ep 17/50 | reward=-8.320 loss=0 lat=10.969s E=5.671J cost=8.320 avgQ=0.00 t=3.593s
  [full] ep 18/50 | reward=-8.626 loss=0 lat=11.381s E=5.871J cost=8.626 avgQ=0.00 t=3.613s
  [full] ep 19/50 | reward=-9.761 loss=0 lat=12.740s E=6.782J cost=9.761 avgQ=0.00 t=3.575s
  [full] ep 20/50 | reward=-9.266 loss=0 lat=12.153s E=6.380J cost=9.266 avgQ=0.00 t=3.525s
  [full] ep 21/50 | reward=-10.230 loss=0 lat=13.412s E=7.049J cost=10.230 avgQ=0.00 t=3.56s
  [full] ep 22/50 | reward=-10.143 loss=0 lat=13.297s E=6.989J cost=10.143 avgQ=0.00 t=3.55s
  [full] ep 23/50 | reward=-7.803 loss=0 lat=10.347s E=5.259J cost=7.803 avgQ=0.00 t=3.593s
